Y	M	D	H	T
2021	2	1	7	11.8
2021	2	1	8	15.87
2021	2	1	9	18.6
2021	2	1	10	20.43
2021	2	1	11	21.82
2021	2	1	12	22.64
2021	2	1	13	22.76
2021	2	1	14	22.19
2021	2	1	15	20.81
2021	2	1	16	18.22
2021	2	1	17	13.83
2021	2	1	18	12.17
2021	2	1	19	11.11
2021	2	1	20	10.23
2021	2	1	21	9.36
2021	2	1	22	8.47
2021	2	1	23	7.65
2021	2	2	0	6.91
2021	2	2	1	6.37
2021	2	2	2	6.05
2021	2	2	3	5.9
2021	2	2	4	5.76
2021	2	2	5	5.67
2021	2	2	6	6.96
2021	2	2	7	12.73
2021	2	2	8	16.47
2021	2	2	9	19.12
2021	2	2	10	21.19
2021	2	2	11	22.75
2021	2	2	12	23.84
2021	2	2	13	24.27
2021	2	2	14	24.01
2021	2	2	15	22.98
2021	2	2	16	20.04
2021	2	2	17	14.37
2021	2	2	18	13
2021	2	2	19	12.67
2021	2	2	20	11.69
2021	2	2	21	10.48
2021	2	2	22	9.67
2021	2	2	23	8.87
2021	2	3	0	7.95
2021	2	3	1	7
2021	2	3	2	6.2
2021	2	3	3	5.65
2021	2	3	4	5.27
2021	2	3	5	5.01
2021	2	3	6	6.55
2021	2	3	7	12.05
2021	2	3	8	16.25
2021	2	3	9	19.46
2021	2	3	10	21.37
2021	2	3	11	22.72
2021	2	3	12	23.63
2021	2	3	13	23.98
2021	2	3	14	23.66
2021	2	3	15	22.6
2021	2	3	16	19.9
2021	2	3	17	14.39
2021	2	3	18	12.5
2021	2	3	19	12.12
2021	2	3	20	11.67
2021	2	3	21	11.27
2021	2	3	22	10.45
2021	2	3	23	9.78
2021	2	4	0	9.01
2021	2	4	1	8.87
2021	2	4	2	8.85
2021	2	4	3	8.15
2021	2	4	4	7.95
2021	2	4	5	7.44
2021	2	4	6	8.33
2021	2	4	7	12.37
2021	2	4	8	16.1
2021	2	4	9	18.6
2021	2	4	10	20.62
2021	2	4	11	22.25
2021	2	4	12	23.16
2021	2	4	13	23.46
2021	2	4	14	23.14
2021	2	4	15	22.11
2021	2	4	16	19.73
2021	2	4	17	14.69
2021	2	4	18	12.5
2021	2	4	19	10.92
2021	2	4	20	9.77
2021	2	4	21	9.08
2021	2	4	22	8.65
2021	2	4	23	7.98
2021	2	5	0	7.69
2021	2	5	1	7.62
2021	2	5	2	7.44
2021	2	5	3	7.23
2021	2	5	4	7.77
2021	2	5	5	7.76
2021	2	5	6	8.37
2021	2	5	7	11.67
2021	2	5	8	15.21
2021	2	5	9	18.16
2021	2	5	10	20.25
2021	2	5	11	21.58
2021	2	5	12	22.13
2021	2	5	13	21.83
2021	2	5	14	21.01
2021	2	5	15	19.82
2021	2	5	16	17.73
2021	2	5	17	13.25
2021	2	5	18	11.34
2021	2	5	19	10.09
2021	2	5	20	9.12
2021	2	5	21	8.84
2021	2	5	22	8.57
2021	2	5	23	8.83
2021	2	6	0	8.71
2021	2	6	1	8.17
2021	2	6	2	7.08
2021	2	6	3	6.58
2021	2	6	4	6.31
2021	2	6	5	6.09
2021	2	6	6	7.87
2021	2	6	7	12.56
2021	2	6	8	16.37
2021	2	6	9	19.23
2021	2	6	10	21.37
2021	2	6	11	22.95
2021	2	6	12	23.53
2021	2	6	13	23.19
2021	2	6	14	22
2021	2	6	15	20.33
2021	2	6	16	18.19
2021	2	6	17	15.29
2021	2	6	18	13.8
2021	2	6	19	12.9
2021	2	6	20	12.54
2021	2	6	21	12.26
2021	2	6	22	11.8
2021	2	6	23	11.53
2021	2	7	0	11.33
2021	2	7	1	11.22
2021	2	7	2	11.04
2021	2	7	3	10.73
2021	2	7	4	10.77
2021	2	7	5	10.83
2021	2	7	6	11.17
2021	2	7	7	13.29
2021	2	7	8	15.51
2021	2	7	9	17.67
2021	2	7	10	18.64
2021	2	7	11	18.65
2021	2	7	12	18.36
2021	2	7	13	17.55
2021	2	7	14	16.65
2021	2	7	15	15.89
2021	2	7	16	14.41
2021	2	7	17	11.28
2021	2	7	18	9.58
2021	2	7	19	9.13
2021	2	7	20	8.9
2021	2	7	21	8.56
2021	2	7	22	7.99
2021	2	7	23	7.39
2021	2	8	0	7.23
2021	2	8	1	6.73
2021	2	8	2	6.07
2021	2	8	3	5.5
2021	2	8	4	4.9
2021	2	8	5	4.15
2021	2	8	6	5.19
2021	2	8	7	10.32
2021	2	8	8	14.7
2021	2	8	9	18.31
2021	2	8	10	19.98
2021	2	8	11	21.03
2021	2	8	12	21.53
2021	2	8	13	21.53
2021	2	8	14	21.19
2021	2	8	15	20.16
2021	2	8	16	17.9
2021	2	8	17	12.76
2021	2	8	18	11.12
2021	2	8	19	10.32
2021	2	8	20	9.93
2021	2	8	21	9.49
2021	2	8	22	8.87
2021	2	8	23	8.1
2021	2	9	0	7.35
2021	2	9	1	6.99
2021	2	9	2	6.62
2021	2	9	3	6.19
2021	2	9	4	5.9
2021	2	9	5	5.62
2021	2	9	6	6.88
2021	2	9	7	12.43
2021	2	9	8	16.19
2021	2	9	9	18.61
2021	2	9	10	20.38
2021	2	9	11	21.62
2021	2	9	12	22.29
2021	2	9	13	22.4
2021	2	9	14	21.87
2021	2	9	15	20.65
2021	2	9	16	18.08
2021	2	9	17	12.85
2021	2	9	18	11.04
2021	2	9	19	9.69
2021	2	9	20	8.69
2021	2	9	21	7.96
2021	2	9	22	7.41
2021	2	9	23	6.93
2021	2	10	0	6.44
2021	2	10	1	6.01
2021	2	10	2	5.63
2021	2	10	3	5.33
2021	2	10	4	5.05
2021	2	10	5	4.82
2021	2	10	6	6.44
2021	2	10	7	12.4
2021	2	10	8	16.78
2021	2	10	9	19.8
2021	2	10	10	21.83
2021	2	10	11	23.33
2021	2	10	12	24.21
2021	2	10	13	24.47
2021	2	10	14	24.05
2021	2	10	15	22.87
2021	2	10	16	19.77
2021	2	10	17	14.37
2021	2	10	18	13.55
2021	2	10	19	13.69
2021	2	10	20	13.4
2021	2	10	21	12.76
2021	2	10	22	12.15
2021	2	10	23	11.56
2021	2	11	0	11.15
2021	2	11	1	11.08
2021	2	11	2	10.73
2021	2	11	3	10.59
2021	2	11	4	10.17
2021	2	11	5	9.63
2021	2	11	6	9.86
2021	2	11	7	13.76
2021	2	11	8	17.94
2021	2	11	9	20.87
2021	2	11	10	22.8
2021	2	11	11	24.03
2021	2	11	12	24.7
2021	2	11	13	24.83
2021	2	11	14	24.35
2021	2	11	15	23.21
2021	2	11	16	20.16
2021	2	11	17	14.93
2021	2	11	18	14.63
2021	2	11	19	14.66
2021	2	11	20	13.55
2021	2	11	21	11.9
2021	2	11	22	10.65
2021	2	11	23	9.46
2021	2	12	0	8.55
2021	2	12	1	7.9
2021	2	12	2	7.4
2021	2	12	3	6.9
2021	2	12	4	6.33
2021	2	12	5	5.8
2021	2	12	6	7.31
2021	2	12	7	13.58
2021	2	12	8	17.15
2021	2	12	9	19.41
2021	2	12	10	21.02
2021	2	12	11	22.2
2021	2	12	12	22.87
2021	2	12	13	23.04
2021	2	12	14	22.66
2021	2	12	15	21.73
2021	2	12	16	19.33
2021	2	12	17	15.13
2021	2	12	18	13.9
2021	2	12	19	13.12
2021	2	12	20	12.24
2021	2	12	21	11.31
2021	2	12	22	10.21
2021	2	12	23	9.38
2021	2	13	0	8.97
2021	2	13	1	9.16
2021	2	13	2	9.48
2021	2	13	3	9.52
2021	2	13	4	9.69
2021	2	13	5	9.66
2021	2	13	6	10.32
2021	2	13	7	14.32
2021	2	13	8	17.65
2021	2	13	9	19.69
2021	2	13	10	21.3
2021	2	13	11	22.48
2021	2	13	12	23.11
2021	2	13	13	23.17
2021	2	13	14	22.65
2021	2	13	15	21.51
2021	2	13	16	19.21
2021	2	13	17	14.79
2021	2	13	18	13.13
2021	2	13	19	11.84
2021	2	13	20	10.69
2021	2	13	21	10.02
2021	2	13	22	9.91
2021	2	13	23	9.83
2021	2	14	0	9.48
2021	2	14	1	8.78
2021	2	14	2	8.02
2021	2	14	3	7.58
